Country Name,Country Code,Series Name,Series Code,2018
Afghanistan,AFG,Population ages 0-14_ total,SP.POP.0014.TO,16017646
Afghanistan,AFG,Population ages 15-64_ total,SP.POP.1564.TO,20193861
Afghanistan,AFG,Population ages 65 and above_ total,SP.POP.65UP.TO,960879
Afghanistan,AFG,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.495
Albania,ALB,Population ages 0-14_ total,SP.POP.0014.TO,506571
Albania,ALB,Population ages 15-64_ total,SP.POP.1564.TO,1965829
Albania,ALB,Population ages 65 and above_ total,SP.POP.65UP.TO,393976
Albania,ALB,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.319
Algeria,DZA,Population ages 0-14_ total,SP.POP.0014.TO,12731313
Algeria,DZA,Population ages 15-64_ total,SP.POP.1564.TO,26810333
Algeria,DZA,Population ages 65 and above_ total,SP.POP.65UP.TO,2686782
Algeria,DZA,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.629
American Samoa,ASM,Population ages 0-14_ total,SP.POP.0014.TO,NA
American Samoa,ASM,Population ages 15-64_ total,SP.POP.1564.TO,NA
American Samoa,ASM,Population ages 65 and above_ total,SP.POP.65UP.TO,NA
American Samoa,ASM,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.153
Andorra,AND,Population ages 0-14_ total,SP.POP.0014.TO,NA
Andorra,AND,Population ages 15-64_ total,SP.POP.1564.TO,NA
Andorra,AND,Population ages 65 and above_ total,SP.POP.65UP.TO,NA
Andorra,AND,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.062
Angola,AGO,Population ages 0-14_ total,SP.POP.0014.TO,14421718
Angola,AGO,Population ages 15-64_ total,SP.POP.1564.TO,15705184
Angola,AGO,Population ages 65 and above_ total,SP.POP.65UP.TO,682859
Angola,AGO,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.514
Antigua and Barbuda,ATG,Population ages 0-14_ total,SP.POP.0014.TO,21261
Antigua and Barbuda,ATG,Population ages 15-64_ total,SP.POP.1564.TO,66552
Antigua and Barbuda,ATG,Population ages 65 and above_ total,SP.POP.65UP.TO,8473
